,product_url,product_code,product_title,category,gender,color,sale_price,mrp,discount,star_rating,no_of_reviews,description,details
14,https://www.adidas.co.in/ultraboost-light-shoes/GY9350.html,GY9350,Ultraboost Light Shoes,Running,Unisex,Cloud White / Cloud White / Crystal White,18 999,18 999,0,4.8,24,"Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date. With hundreds of BOOST capsules bursting with energy and ultimate cushioning and comfort, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 299 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Cloud White / Cloud White / Crystal White', 'Product code: GY9350']"
15,https://www.adidas.co.in/stan-smith-shoes/FX5501.html,FX5501,Stan Smith Shoes,Originals,Men,Cloud White / Cloud White / Collegiate Navy,7 999,7 999,0,4.7,2830,"Timeless appeal. Effortless style. Everyday versatility. For over 50 years and counting, adidas Stan Smith Shoes have continued to hold their place as an icon. This pair shows off a fresh redesign as part of adidas' commitment to use only recycled polyester by 2024. With a vegan upper and an outsole made from rubber waste, they still have iconic style, they're just made with the planet in mind.

This product is made with vegan alternatives to animal-derived ingredients or materials. It is also made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.","['Regular fit', 'Lace closure', 'Synthetic lining', 'Rubber outsole', 'Vegan', 'Color: Cloud White / Cloud White / Collegiate Navy', 'Product code: FX5501']"
16,https://www.adidas.co.in/x-speedportal.3-firm-ground-boots/GZ5075.html,GZ5075,X Speedportal.3 Firm Ground Boots,Football,Unisex,Cloud White / Cloud White / Core Black,7 999,7 999,0,5.0,3,"Mind. Body. Boot. Connected in the blink of an eye. Pull on adidas X Speedportal to unlock speed in all its dimensions. Built to fly on firm ground, these football boots have a lightweight, coated textile upper and two extra forefoot studs. The combination of a stretchy flat-knit collar and rigid TPU heel lock ensures you're strapped in for every sprint and sidestep.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Coated textile upper', 'External heel lock', 'Textile lining', 'Firm ground outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Cloud White / Core Black', 'Product code: GZ5075']"
17,https://www.adidas.co.in/ultraboost-23-shoes/HP9205.html,HP9205,Ultraboost 23 Shoes,Running,Women,Solar Red / Core Black / Night Metallic,18 999,18 999,0,5.0,6,"Feel good, run fast, do better. It's a cycle. Add bounce to your run with the Ultraboost 23 running shoes. The lightest and most responsive Ultraboosts yet, they're also made with a lower footprint than previous versions. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST with even more energy return. This pair is specifically tailored to the female form, with a narrower heel fit plus lower instep curve designed to reduce heel slip and blisters.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 262 g (size U.K. 5.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Solar Red / Core Black / Night Metallic', 'Product code: HP9205']"
18,https://www.adidas.co.in/superstar-shoes/GY9572.html,GY9572,Superstar Shoes,Originals,Women,Cloud White / Cloud White / Gold Metallic,5 399,8 999,40,4.6,23,"You know how, around the holidays when it's parties and family and friends, you wish things could be like that all year round? It can be with these adidas Superstar Shoes. They capture that holiday spirit and energy with shiny metallic 3-Stripes, a luxe velvet sockliner and a lace jewel.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Synthetic upper', 'Textile lining', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Cloud White / Gold Metallic', 'Product code: GY9572']"
19,https://www.adidas.co.in/adilette-slides/GZ4329.html,GZ4329,Adilette Slides,Originals,Women,Cloud White / Cloud White / Core Black,3 599,5 999,40,4.9,35,"Some days it's a lacy skirt. Other days it's sweat pants. Your style is impossible to define. These adidas Adilette Slides have a playful design that's easy to dress up or down, depending on your mood. A zip pouch on the bandage upper makes a bold statement no matter what you pair them with.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","['Slip-on', 'Textile upper', 'Textile lining', 'Zip pouch on one slide', 'Synthetic outsole', '25% of the components used to make the upper are made with a minimum of 50% recycled content', 'Color: Cloud White / Cloud White / Core Black', 'Product code: GZ4329']"
20,https://www.adidas.co.in/ultraboost-light-shoes/HQ6353.html,HQ6353,Ultraboost Light Shoes,Running,Women,Cloud White / Core Black / Solar Red,18 999,18 999,0,5.0,6,"Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date and boasts a 10% lower carbon footprint than previous models (for more information see FAQs below).

Specifically tailored to the female form, Ultraboost Light features a narrower heel fit plus a lower instep curve designed help to reduce heel slip and blisters. With ultimate cushioning, comfort and responsiveness, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 262 g (size U.K. 5.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Cloud White / Core Black / Solar Red', 'Product code: HQ6353']"
22,https://www.adidas.co.in/ultraboost-light-shoes/HQ6342.html,HQ6342,Ultraboost Light Shoes,Running,Unisex,Carbon / Blue Dawn / Court Green,18 999,18 999,0,4.8,24,"Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date. With hundreds of BOOST capsules bursting with energy and ultimate cushioning and comfort, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 293 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Carbon / Blue Dawn / Court Green', 'Product code: HQ6342']"
23,https://www.adidas.co.in/ultraboost-light-shoes/HP9841.html,HP9841,Ultraboost Light Shoes,Running,Unisex,Solar Red / Core Black / Night Metallic,18 999,18 999,0,4.8,24,"Go bold and bright with the Ultraboost Light red colourway, exclusive to adidas stores. Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date and boasts a 10% lower carbon footprint than previous models (for more information see FAQs below). With ultimate cushioning, comfort and responsiveness, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 293 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Solar Red / Core Black / Night Metallic', 'Product code: HP9841']"
24,https://www.adidas.co.in/ultraboost-light-shoes/GZ5159.html,GZ5159,Ultraboost Light Shoes,Running,Unisex,Core Black / Core Black / Core Black,18 999,18 999,0,4.8,24,"Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date. With hundreds of BOOST capsules bursting with energy and ultimate cushioning and comfort, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 299 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Core Black / Core Black / Core Black', 'Product code: GZ5159']"
25,https://www.adidas.co.in/fluidflow-2.0-running-shoe/EX2102.html,EX2102,FLUIDFLOW 2.0 RUNNING SHOE,Running,Men,Crew Navy / Stone / Hazy Blue / Core Black,2 579,4 299,40,4.1,18,"BB Fit: One step. One block. One mile. No matter how far you go, it's somewhere. Keep putting in the work in these men's shoes, with a versatile build that's totally down for your diverse routine. They have a breathable knit upper with enhanced cushioning for absolute comfort.","['Synthetic Sole', 'Speed Laces Closure', 'Shoe Width: Medium', 'Regular fit', 'Adaptive-fit knit upper', 'Low-profile shoes for indoor and outdoor sports', 'Color: Crew Navy / Stone / Hazy Blue / Core Black', 'Product code: EX2102']"
26,https://www.adidas.co.in/ultra-4dfwd-shoes/HP7599.html,HP7599,Ultra 4DFWD Shoes,Running,Unisex,Wonder Taupe / Night Metallic / Wonder Quartz,Price not available,Price not available,0,4.4,17,"You run. We innovate to make it feel easier. That's where the adidas Ultra 4DFWD Shoes come in, combining our adidas 4D midsole with the beloved adidas PRIMEKNIT+ upper. Their unique lattice structure compresses at impact, redirecting your energy into forward motion. Whether you're running near or far, fast or slow, you get a smooth ride that feels more like gliding than pounding on pavement.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.","['Sock-like fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Impact-absorbing structure', 'Forward-angled lattice', '3D-printed 4D midsole', 'Weight: 372 g (size UK 8.5)', 'Midsole drop: 11 mm (heel: 32 mm / forefoot: 21 mm)', 'Continental™ Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester', 'Color: Wonder Taupe / Night Metallic / Wonder Quartz', 'Product code: HP7599']"
27,https://www.adidas.co.in/pureboost-22-heat.rdy-shoes/GY4706.html,GY4706,Pureboost 22 HEAT.RDY Shoes,Running,Men,Cloud White / Night Metallic / Lucid Blue,12 999,12 999,0,0.0,0,"Don't let the heat of the day keep you from getting out for your lunchtime run. These adidas running shoes are built with HEAT.RDY tech to keep you going in hot conditions. The upper is designed for maximum airflow to help you stay on pace in rising temperatures, and responsive BOOST cushioning delivers energy return with every step.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Textile upper', 'HEAT.RDY', 'BOOST midsole', 'Textile lining', 'Weight: 308 g (size UK 8.5)', 'Midsole drop: 10 mm (heel: 22 mm / forefoot: 12 mm)', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Night Metallic / Lucid Blue', 'Product code: GY4706']"
28,https://www.adidas.co.in/nmd-s1-ryat-shoes/IE4686.html,IE4686,NMD S1 RYAT Shoes,Originals,Unisex,Olive / Olive / Olive,24 999,24 999,0,4.6,39,"Designed by Pharrell Williams and Humanrace, the NMD S1 RYAT offers functional design in which every element and detail serves a purpose. The shoe is constructed with a premium upper, rubberized TPU mudguard and toecap that add to the shoe's sense of utility. The design is completed with a BOOST midsole for cushioning and a rugged outsole featuring a Trefoil-shaped grip.","['Lace closure', 'Leather upper', 'BOOST midsole', 'Leather lining', 'Rubber outsole', 'Color: Olive / Olive / Olive', 'Product code: IE4686']"
29,https://www.adidas.co.in/adidas-by-stella-mccartney-seeulater-shoes/H06157.html,H06157,adidas by Stella McCartney Seeulater Shoes,adidas by Stella McCartney,Unisex,Core Black / Utility Grey / Hi-Res Blue,16 999,16 999,0,0.0,0,"The inspiration of these adidas by Stella McCartney hiking boots is clear — mountaineering equipment. Climbing rope laces lock your feet in securely and comfortably. Add in the rugged, durable outsole, you can feel confident in your footing as you take on unpredictable terrain. Speaking of unpredictability in nature, when the weather shifts, the breathable, water-repellent mesh upper makes sure you can still get after your adventure. With these shoes, very little stands in your way.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Water-repellent mesh upper', 'Rubber toe cap', 'EVA midsole', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Core Black / Utility Grey / Hi-Res Blue', 'Product code: H06157']"
30,https://www.adidas.co.in/predator-accuracy.3-turf-boots/GW4637.html,GW4637,Predator Accuracy.3 Turf Boots,Football,Unisex,Core Black / Cloud White / Team Shock Pink 2,7 999,7 999,0,3.6,10,"Control + accuracy = confidence. When the goal's in your sights, target perfection with adidas Predator Accuracy. The coated textile upper on these football boots includes High Definition Texture across its strike zone. A mixture of debossed elements and raised print, it's there to help you nail every pass and shot. Underneath, a lug rubber outsole keeps you in boss mode on artificial turf.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Mid-cut coated textile upper', '3D texture for soft touch', 'Rubber outsole for artificial turf', 'Upper contains a minimum of 50% recycled content', 'Color: Core Black / Cloud White / Team Shock Pink 2', 'Product code: GW4637']"
31,https://www.adidas.co.in/breaknet-2.0-shoes/HQ4225.html,HQ4225,Breaknet 2.0 Shoes,Sportswear,Men,Cloud White / Savanna / Better Scarlet,4 199,5 999,30,3.3,16,"With their clean lines and unexpected mix of muted and bright shades, these tennis-inspired adidas sneakers are as stylish as they are sporty. The smooth upper is lined for comfort, while the rubber outsole feels sturdy yet flexible.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Lace closure', 'Synthetic upper', 'Textile lining', 'Synthetic outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Savanna / Better Scarlet', 'Product code: HQ4225']"
32,https://www.adidas.co.in/stan-smith-x-moomin-shoes/ID6646.html,ID6646,Stan Smith x Moomin Shoes,Originals,Women,Core White / Core White / Clay Strata,10 999,10 999,0,0.0,0,"Finnish fairytale land Moominvalley is home to instantly lovable characters who fill their days with curiosity and joy. These adidas Stan Smith x Moomin Shoes bring that same sentiment to an iconic style. On the heel patch, you'll find Snorkmaiden enjoying some time out in nature. You'll even catch Moomintroll making an appearance on the signature tongue logo. Decorative overlock stitching on the upper and a cork-print outsole add charm to the look.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Lace closure', 'Textile upper', 'Textile lining', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Core White / Core White / Clay Strata', 'Product code: ID6646']"
33,https://www.adidas.co.in/topazo-m/GB2519.html,GB2519,Topazo M,Running,Men,Grey Six / Scarlet / Stone,3 179,5 299,40,3.8,69,TOPAZO SHOES,"['CUSHIONED RUNNING SHOES MADE TO ENERGIZE YOU', 'Product Colour: Collegiate Navy/Acid Yellow/Core Black', 'Regular fit', 'Lace closure', 'Mesh upper', 'Light weight Flexible', 'Rubber outsole', 'EVA midsole', 'Color: Grey Six / Scarlet / Stone', 'Product code: GB2519']"
34,https://www.adidas.co.in/x-speedportal-messi.4-turf-boots/GZ5137.html,GZ5137,X Speedportal Messi.4 Turf Boots,Football,Unisex,Team Solar Orange / Team Solar Orange / Core Black,5 299,5 299,0,0.0,0,"Mind. Body. Boot. Connected in the blink of an eye. Pull on adidas X Speedportal to unlock speed in all its dimensions. Flashing a montage of Messi-inspired graphics, the soft, durable coated textile upper and cushioned EVA midsole on these football boots work together to keep you comfortable during high-speed play. Underneath, a lug rubber outsole delivers stability on artificial turf surfaces.","['Regular fit', 'Lace closure', 'Coated textile upper', 'EVA midsole', 'Textile lining', 'Rubber outsole for artificial turf', 'Upper contains a minimum of 50% recycled content', 'Color: Team Solar Orange / Team Solar Orange / Core Black', 'Product code: GZ5137']"
35,https://www.adidas.co.in/ultra-4d-shoes/GZ1336.html,GZ1336,Ultra 4D Shoes,Sportswear,Men,Cloud White / Night Metallic / Beam Yellow,21 999,5 999,0,4.7,284,"Every day is an opportunity to improve: your expectations, your outlook, your run. The Ultra 4D is coded to help get you there, starting with a 3D-printed 4D midsole designed to stabilise your ride. Long-lasting cushioning helps you go the distance, and adidas PRIMEKNIT wraps your foot for support through every stride.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Lace closure', 'adidas PRIMEKNIT upper', '3D-printed 4D midsole', 'Textile lining', 'Continental™ Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Night Metallic / Beam Yellow', 'Product code: GZ1336']"
36,https://www.adidas.co.in/nmd_r1-shoes/HP9780.html,HP9780,NMD_R1 Shoes,Originals,Women,Core Black / Off White / Grey Six,14 999,14 999,0,4.3,3,"Ace the abstract look. Known for bold prints, Marimekko makes its mark on these adidas shoes, which pair personality with performance. The supremely comfortable fit starts with a moves-with-you upper, made with high-performance yarn that flexes with your feet. BOOST cushioning returns energy, and a soft lining lets you skip socks if you want. An allover print is reminiscent of the '60s aesthetic: futuristic, conceptual and confident.","['Lace closure', 'Textile upper', 'Textile lining', 'BOOST midsole', 'Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester', 'Color: Core Black / Off White / Grey Six', 'Product code: HP9780']"
37,https://www.adidas.co.in/x-speedportal-messi.4-flexible-ground-boots/GZ5140.html,GZ5140,X Speedportal Messi.4 Flexible Ground Boots,Football,Unisex,Team Solar Orange / Team Solar Orange / Core Black,5 299,5 299,0,4.0,1,"Mind. Body. Boot. Connected in the blink of an eye. Pull on adidas X Speedportal to unlock speed in all its dimensions. Flashing a montage of Messi-inspired graphics, the soft and durable coated textile upper on these football boots is designed to keep you comfortable during high-speed dribbling. Underneath, a versatile outsole delivers stability on firm ground, hard ground and artificial grass.","['Regular fit', 'Lace closure', 'Coated textile upper', 'Textile lining', 'Flexible ground outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Team Solar Orange / Team Solar Orange / Core Black', 'Product code: GZ5140']"
39,https://www.adidas.co.in/web-boost-shoes/ID5096.html,ID5096,Web BOOST Shoes,IVY PARK,Unisex,Bliss / Sesame / Solar Orange,19 999,19 999,0,4.6,8,"These adidas x IVY PARK shoes reimagine a classic adidas silhouette with an engineered knit upper combined with toggle-detailed laces for a comfortable, supportive fit. Energy-returning BOOST cushioning gets exposed through the midsole and outsole, bringing comfort to every part of the day's journey.","['Textile upper', 'BOOST midsole', 'Textile lining', 'Rubber outsole', 'Color: Bliss / Sesame / Solar Orange', 'Product code: ID5096']"
